Date,Store,Product,CustomerID,Region,Units_Sold,Price,Weather,Temperature
2021-01-05,Store_A,Bread,1001,North,20,2.5,Sunny,15
2021-01-06,Store_A,Milk,1002,North,12,1.8,Cloudy,12
2021-01-07,Store_A,Eggs,1003,North,30,3.2,Sunny,16
2021-01-12,Store_A,Bread,1004,North,18,2.5,Sunny,17
2021-01-15,Store_A,Milk,1001,North,10,1.8,Rainy,11
2021-02-03,Store_A,Eggs,1005,North,35,3.2,Sunny,18
2021-02-10,Store_A,Bread,1002,North,25,2.7,Sunny,19
2021-02-12,Store_A,Milk,1006,North,15,1.9,Cloudy,14
2021-03-01,Store_A,Eggs,1003,North,40,3.5,Sunny,20
2021-03-10,Store_A,Bread,1007,North,22,2.8,Rainy,13
2021-03-15,Store_A,Milk,1008,North,18,2.0,Cloudy,15
2021-04-02,Store_A,Eggs,1009,North,45,3.6,Sunny,21
2021-04-10,Store_A,Bread,1010,North,28,3.0,Sunny,22
2021-04-15,Store_A,Milk,1003,North,20,2.1,Cloudy,16
2021-05-01,Store_A,Eggs,1001,North,50,3.8,Sunny,25
2021-05-05,Store_A,Bread,1005,North,30,3.0,Sunny,24
2021-05-09,Store_A,Milk,1011,North,22,2.2,Rainy,18
2021-06-01,Store_A,Eggs,1012,North,55,4.0,Sunny,27
2021-06-07,Store_A,Bread,1013,North,32,3.2,Cloudy,23
2021-06-12,Store_A,Milk,1007,North,25,2.3,Sunny,26
2021-07-01,Store_A,Eggs,1002,North,60,4.2,Sunny,30
2021-07-05,Store_A,Bread,1004,North,35,3.5,Sunny,29
2021-07-08,Store_A,Milk,1014,North,28,2.5,Cloudy,24
2021-08-01,Store_A,Eggs,1015,North,65,4.5,Sunny,31
2021-08-10,Store_A,Bread,1001,North,40,3.6,Rainy,20
2021-08-15,Store_A,Milk,1016,North,30,2.6,Sunny,28
2021-09-01,Store_A,Eggs,1003,North,70,4.6,Sunny,32
2021-09-07,Store_A,Bread,1008,North,38,3.7,Cloudy,25
2021-09-12,Store_A,Milk,1012,North,35,2.8,Sunny,27
2021-10-01,Store_A,Eggs,1010,North,72,4.8,Sunny,29
